timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768087158836,396,[Stress] GET Pets Sold,200,OK,2.Stress Test (Ramp Up) 2-12,text,true,,2649,148,18,41,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,396,0,263
1768087158896,386,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-70,text,true,,333,156,8,41,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,385,0,255
1768087158955,396,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-68,text,true,,414,135,8,42,https://petstore.swagger.io/v2/store/inventory,396,0,265
1768087158952,405,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-71,text,true,,333,156,7,41,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,404,0,271
1768087158964,393,[Stress] GET Pets Sold,200,OK,2.Stress Test (Ramp Up) 2-5,text,true,,2649,148,19,41,https://petstore.swagger.io/v2/pet/findByStatus?status=sold,393,0,260
1768087158961,399,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-74,text,true,,414,135,7,41,https://petstore.swagger.io/v2/store/inventory,399,0,264
1768087159065,394,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-15,text,true,,414,135,15,41,https://petstore.swagger.io/v2/store/inventory,394,0,262
1768087159065,395,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-6,text,true,,442,292,15,41,https://petstore.swagger.io/v2/store/order,395,0,262
1768087159095,390,[Endurance] POST Order,200,OK,4.Endurance Test (Sustained Load) 4-9,text,true,,443,293,15,41,https://petstore.swagger.io/v2/store/order,390,0,256
1768087159094,393,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-75,text,true,,414,135,7,41,https://petstore.swagger.io/v2/store/inventory,393,0,257
1768087159095,392,[Spike] GET Pets Available,200,OK,3.Spike Test (Sudden Load) 3-72,text,true,,333,156,7,41,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,392,0,256
1768087159111,385,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-10,text,true,,505,378,19,41,https://petstore.swagger.io/v2/pet,385,0,253
1768087159152,392,[Endurance] GET Pets,200,OK,4.Endurance Test (Sustained Load) 4-11,text,true,,333,156,15,41,https://petstore.swagger.io/v2/pet/findByStatus?%20status=available,391,0,259
1768087159161,392,[Endurance] GET Inventory,200,OK,4.Endurance Test (Sustained Load) 4-10,text,true,,414,135,15,41,https://petstore.swagger.io/v2/store/inventory,392,0,259
1768087159191,383,[Stress] POST Create Pet,200,OK,2.Stress Test (Ramp Up) 2-11,text,true,,505,378,19,41,https://petstore.swagger.io/v2/pet,383,0,250
1768087159201,390,[Spike] GET Store Inventory,200,OK,3.Spike Test (Sudden Load) 3-69,text,true,,414,135,7,41,https://petstore.swagger.io/v2/store/inventory,390,0,258
